ADDRESS_X,LATITUDE_X,LONGITUDE_X,AGE,COMMUNITY_COUNCIL_NEIGHBORHOOD,CPD_NEIGHBORHOOD,CRASHDATE,CRASHLOCATION,CRASHSEVERITY,CRASHSEVERITYID,DATECRASHREPORTED,DAYOFWEEK,GENDER,INJURIES,INSTANCEID,LIGHTCONDITIONSPRIMARY,LOCALREPORTNO,MANNEROFCRASH,ROADCONDITIONSPRIMARY,ROADCONTOUR,ROADSURFACE,SNA_NEIGHBORHOOD,TYPEOFPERSON,WEATHER,ZIP
33XX CLIFTON AV,39.141748,-84.519741,18-25,CLIFTON,CLIFTON,08/23/2018 11:26:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/23/2018 11:35:00 AM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,347205A5-9512-4FBC-A508-A2038AFE7ADB,1 - DAYLIGHT,185011777,6 - ANGLE,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CLIFTON,D - DRIVER,1 - CLEAR,45220
67XX HOME CITY AV,39.115391,-84.690376,UNKNOWN,SAYLER PARK,SAYLER  PARK,08/16/2018 09:00:45 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/21/2018 04:28:54 PM +0000,THU,,1 - NO INJURY / NONE REPORTED,3BCE3C9B-C2D8-4A6D-B31A-A2690096979A,1 - DAYLIGHT,185011687,9 - UNKNOWN,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,SAYLER PARK,D - DRIVER,1 - CLEAR,45233
50XX GRAY RD,39.192558,-84.530478,31-40,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE,08/13/2018 11:18:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/13/2018 11:18:00 PM +0000,MON,M - MALE,1 - NO INJURY / NONE REPORTED,5C876B83-D337-4A67-ACDE-7756F9301D3E,5 - DARK – ROADWAY NOT LIGHTED,185011275,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,4 - CURVE GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",SPRING GROVE VILLAGE,D - DRIVER,1 - CLEAR,45232
60XX OAK KNOLL DR,39.202943,84.555193,UNDER 18,N/A,N/A,08/23/2018 03:15:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/23/2018 03:20:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,5DFD2020-6E24-4226-9C32-599DCEC100D3,1 - DAYLIGHT,185011809,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45224
N I71 AT 0-8 MM,39.098999,-84.509951,51-60,DOWNTOWN,C. B. D. / RIVERFRONT,08/24/2018 02:52:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/24/2018 02:52:00 PM +0000,FRI,M - MALE,1 - NO INJURY / NONE REPORTED,F6576EA2-FE36-48E6-B5A3-D7AD41182E47,1 - DAYLIGHT,185011850,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,DOWNTOWN,D - DRIVER,1 - CLEAR,45202
W I275 AT 72-8 MM,39.061481,84.421012,41-50,N/A,N/A,08/14/2018 01:43:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/14/2018 01:45:00 PM +0000,TUE,F - FEMALE,1 - NO INJURY / NONE REPORTED,9ADF40BC-CCD5-464D-A075-7E20B45F3E68,1 - DAYLIGHT,185011296,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,4 - CURVE GRADE,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45226
25XX ASHLAND AV,39.12552,84.48367,41-50,N/A,N/A,08/24/2018 02:35:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/24/2018 02:37:00 PM +0000,FRI,F - FEMALE,1 - NO INJURY / NONE REPORTED,52223093-8C9B-4B52-8E4D-F6B8D3729372,1 - DAYLIGHT,185011837,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45206
28XX BOUDINOT AV,39.13478,-84.605443,UNKNOWN,WESTWOOD,WESTWOOD,08/25/2018 02:50:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/25/2018 02:55:00 PM +0000,SAT,,1 - NO INJURY / NONE REPORTED,01C34229-1943-4352-9DCB-BD63753A6AC5,1 - DAYLIGHT,185011890,4 - REAR-TO-REAR,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WESTWOOD,D - DRIVER,1 - CLEAR,45238
32XX GOBEL AV,39.145885,84.582245,UNKNOWN,N/A,N/A,08/13/2018 12:00:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/14/2018 11:58:00 AM +0000,MON,,1 - NO INJURY / NONE REPORTED,3EA5B732-5587-4CE5-BC93-D06219AC47CD,5 - DARK – ROADWAY NOT LIGHTED,185011290,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45211
27XX MADISON RD,39.146508,84.441511,18-25,N/A,N/A,08/08/2018 05:45:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/08/2018 05:48:00 PM +0000,WED,M - MALE,1 - NO INJURY / NONE REPORTED,56458F47-9434-4DAF-A094-F88A50FD3284,1 - DAYLIGHT,185011025,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45209
2XX E KING DR,39.135441,-84.503911,31-40,CORRYVILLE,CORRYVILLE,08/23/2018 11:35:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/23/2018 11:37:00 AM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,4E9C1DD8-1543-4D22-BFE3-808F4B8E7062,1 - DAYLIGHT,185011785,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CORRYVILLE,D - DRIVER,1 - CLEAR,45219
15XX VINE ST,48.183538,16.35586,UNKNOWN,N/A,N/A,08/27/2018 01:47:00 PM +0000,03 - T-INTERSECTION,2 - INJURY,2,08/27/2018 01:47:00 PM +0000,MON,,1 - NO INJURY / NONE REPORTED,E68BE339-3AF8-46ED-B2AF-0E9A7BF65269,1 - DAYLIGHT,185011961,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45202
23XX HARRISON AV,39.137258,84.578127,51-60,N/A,N/A,08/03/2018 01:39:00 AM +0000,01 - NOT AN INTERSECTION,1 - FATAL INJURY,1,08/03/2018 01:39:00 AM +0000,FRI,F - FEMALE,5 - FATAL,70926BC8-49A9-45EE-8BF5-F99055ED08A5,4 - DARK - LIGHTED ROADWAY,185010736,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,P - PEDESTRIAN,1 - CLEAR,45211
11XX MAIN ST,39.108625,-84.512018,26-30,OTR,OVER-THE-RHINE,08/27/2018 11:15:00 AM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/27/2018 11:20:00 AM +0000,MON,M - MALE,2 - POSSIBLE,7862C9DC-CE42-4C4D-A463-B1D13C23C158,1 - DAYLIGHT,185011949,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",OVER-THE-RHINE,P - PEDESTRIAN,1 - CLEAR,45202
18XX WEST FORK RD,39.161305,84.562487,UNKNOWN,N/A,N/A,08/24/2018 03:15:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/27/2018 08:09:00 AM +0000,FRI,,1 - NO INJURY / NONE REPORTED,07BD4A96-E8F2-4F00-AF0D-15A34B0602AF,9 - UNKNOWN,185011945,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45223
13XX W NORTH BEND RD,39.201833,-84.540918,UNDER 18,COLLEGE HILL,COLLEGE  HILL,08/19/2018 09:04:00 PM +0000,03 - T-INTERSECTION,2 - INJURY,2,08/19/2018 09:09:00 PM +0000,SUN,M - MALE,4 - INCAPACITATING,365A679A-BB7C-4E02-8581-D1666CF55D91,4 - DARK - LIGHTED ROADWAY,185011606,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",COLLEGE HILL,P - PEDESTRIAN,1 - CLEAR,45224
2XX E CENTRAL PY,39.107431,84.509619,26-30,N/A,N/A,08/19/2018 02:55:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/19/2018 03:00:00 PM +0000,SUN,M - MALE,1 - NO INJURY / NONE REPORTED,529482F6-3714-4822-A82B-2B47523B645E,1 - DAYLIGHT,185011590,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45202
36XX VINE ST,39.150415,-84.510023,31-40,CLIFTON,CLIFTON,08/09/2018 06:50:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/09/2018 06:58:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,D32352EF-02C7-4FA2-96AC-2C806F09A84D,1 - DAYLIGHT,185011073,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CLIFTON,D - DRIVER,1 - CLEAR,45220
30XX QUEEN CITY AV,39.117012,-84.597307,41-50,WEST PRICE HILL,WEST PRICE HILL,08/02/2018 05:40:00 AM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/02/2018 05:42:00 AM +0000,THU,M - MALE,2 - POSSIBLE,C6A11793-43B5-4757-AA86-1A20D1B34DA6,4 - DARK - LIGHTED ROADWAY,185010690,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WEST PRICE HILL,D - DRIVER,1 - CLEAR,45238
7XX RACE ST,0.00072,0.00045,26-30,N/A,N/A,08/03/2018 05:10:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/03/2018 05:11:00 PM +0000,FRI,F - FEMALE,1 - NO INJURY / NONE REPORTED,D90D8EAB-3DDE-459E-97E4-DCD19562ECE5,1 - DAYLIGHT,185010771,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45202
33XX EPWORTH AV,39.147581,84.600925,18-25,N/A,N/A,08/02/2018 03:37:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/02/2018 03:38:00 PM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,BCF173B5-5CCC-4B65-B5AE-1352D46F2E09,1 - DAYLIGHT,185010720,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45211
26XX W NORTH BEND RD,39.189011,-84.573653,UNDER 18,MOUNT AIRY,MOUNT AIRY,08/22/2018 07:45:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/22/2018 07:52:00 PM +0000,WED,F - FEMALE,1 - NO INJURY / NONE REPORTED,0582F873-7C3A-4B60-9126-14304E0C4565,1 - DAYLIGHT,185011756,9 - UNKNOWN,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",MT. AIRY,D - DRIVER,1 - CLEAR,45239
29XX OBSERVATORY AV,39.101031,84.513311,31-40,N/A,N/A,08/07/2018 07:18:26 AM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/07/2018 07:19:27 AM +0000,TUE,F - FEMALE,2 - POSSIBLE,484322EE-9059-4AD2-AA89-62081A5F5CCA,1 - DAYLIGHT,LCP18080700027,6 - ANGLE,02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,4 - RAIN,45208
83XX VINE ST,39.213621,-84.473631,UNKNOWN,HARTWELL,HARTWELL,08/17/2018 01:30:06 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/17/2018 01:32:40 PM +0000,FRI,,1 - NO INJURY / NONE REPORTED,16728695-7F64-4C82-BF0F-CDFA158704C2,1 - DAYLIGHT,185011491,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,HARTWELL,D - DRIVER,1 - CLEAR,45216
INTERSTATE 71 @0.1 MM,39.100729,84.503494,61-70,N/A,N/A,08/05/2018 02:45:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/06/2018 11:00:00 AM +0000,SUN,M - MALE,1 - NO INJURY / NONE REPORTED,ED8477B0-FF9C-42D9-BF26-FF5599352E28,1 - DAYLIGHT,185010945,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45202
31XX WILLIS AV,39.131918,84.428802,UNKNOWN,N/A,N/A,08/04/2018 03:30:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/04/2018 04:11:00 PM +0000,SAT,,1 - NO INJURY / NONE REPORTED,C075B615-6DA7-47EC-B974-5D39C8E10719,1 - DAYLIGHT,185010822,9 - UNKNOWN,01 - DRY,2 - STRAIGHT GRADE,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45208
22XX RIVER RD,39.105604,84.54002,18-25,N/A,N/A,08/26/2018 10:00:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/26/2018 10:06:00 AM +0000,SUN,M - MALE,1 - NO INJURY / NONE REPORTED,71479FDA-E529-47CD-B6DA-068B206F8F81,1 - DAYLIGHT,185011915,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,3 - CURVE LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45204
8XX OVERLOOK AV,39.111358,-84.600431,26-30,WEST PRICE HILL,WEST PRICE HILL,08/19/2018 04:30:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/19/2018 04:56:28 PM +0000,SUN,M - MALE,1 - NO INJURY / NONE REPORTED,40F043C9-EBC8-45FF-B4FF-9110E45EDEE7,1 - DAYLIGHT,185011592,5 - BACKING,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WEST PRICE HILL,D - DRIVER,1 - CLEAR,45238
34XX VINE ST,39.143471,-84.511263,18-25,AVONDALE,AVONDALE,08/16/2018 09:43:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/16/2018 11:28:17 PM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,EFA6CE38-8176-4E8E-AD95-D5DA8E634E78,4 - DARK - LIGHTED ROADWAY,185011456,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",AVONDALE,D - DRIVER,4 - RAIN,45220
23XX READING RD,39.122908,-84.502405,26-30,MOUNT AUBURN,MOUNT  AUBURN,08/13/2018 09:48:00 PM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/13/2018 09:53:00 PM +0000,MON,M - MALE,3 - NON-INCAPACITATING,309463DD-9E78-4738-869A-9699157D12BC,4 - DARK - LIGHTED ROADWAY,185011279,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",MT. AUBURN,D - DRIVER,1 - CLEAR,45206
S I75 AT 0-7 MM,39.099278,84.514341,31-40,N/A,N/A,08/24/2018 04:40:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/24/2018 04:43:00 PM +0000,FRI,F - FEMALE,2 - POSSIBLE,E89E3298-598D-461A-8CEE-7D39D4A1067F,1 - DAYLIGHT,185011847,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,01 - DRY,3 - CURVE LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45202
2XX CALHOUN ST,39.128151,84.515781,31-40,N/A,N/A,08/13/2018 03:38:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/13/2018 03:38:00 PM +0000,MON,M - MALE,1 - NO INJURY / NONE REPORTED,36305C18-208E-4EDE-ADE0-E5935F4D43BF,1 - DAYLIGHT,185011258,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45219
X W NORWOOD LATERAL,39.163561,-84.430041,41-50,OAKLEY,OAKLEY,08/23/2018 02:22:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/23/2018 02:22:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,E072F4CD-CD03-468C-A7AA-7E7709CB2E0F,1 - DAYLIGHT,185011804,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",OAKLEY,D - DRIVER,1 - CLEAR,45209
27XX OBSERVATORY AV,39.137101,84.443793,41-50,N/A,N/A,08/03/2018 04:20:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/03/2018 04:20:00 PM +0000,FRI,F - FEMALE,1 - NO INJURY / NONE REPORTED,BC8E41B8-6186-4745-85BF-3BA18AAD4E94,1 - DAYLIGHT,185010765,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45208
24XX HARRISON AV,39.140417,-84.582211,UNKNOWN,WESTWOOD,WESTWOOD,08/14/2018 09:10:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/14/2018 09:10:00 PM +0000,TUE,,1 - NO INJURY / NONE REPORTED,02C268BB-7261-4061-8FF0-C62E65DAECE9,4 - DARK - LIGHTED ROADWAY,185011323,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WESTWOOD,D - DRIVER,1 - CLEAR,45211
33XX BURNET AV,39.140251,-84.501923,18-25,AVONDALE,CORRYVILLE,08/08/2018 04:40:00 PM +0000,02 - FOUR-WAY INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/08/2018 04:55:00 PM +0000,WED,F - FEMALE,1 - NO INJURY / NONE REPORTED,9A3AF33E-1CA4-4D6C-AAB6-5C2C4E7BBFE6,1 - DAYLIGHT,185011020,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,CORRYVILLE,D - DRIVER,1 - CLEAR,45229
34XX ERIE AV,39.141027,84.419711,UNDER 18,N/A,N/A,08/04/2018 03:00:00 PM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/04/2018 03:02:00 PM +0000,SAT,F - FEMALE,1 - NO INJURY / NONE REPORTED,B102913A-FA2E-4A38-B560-BBAE70B9FBCD,1 - DAYLIGHT,185010817,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45208
9XX ENRIGHT AV,39.106571,-84.573931,UNKNOWN,EAST PRICE HILL,EAST PRICE HILL,08/15/2018 11:15:00 PM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/15/2018 11:19:00 PM +0000,WED,,1 - NO INJURY / NONE REPORTED,E5759929-DDA8-4E3C-909A-A51EF8ADD48E,4 - DARK - LIGHTED ROADWAY,185011386,1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT,02 - WET,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",EAST PRICE HILL,D - DRIVER,4 - RAIN,45205
21XX LANGDON FARM,39.183656,84.455088,18-25,N/A,N/A,08/16/2018 04:25:00 PM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/16/2018 04:35:00 PM +0000,THU,M - MALE,1 - NO INJURY / NONE REPORTED,355AC9D8-ABA2-44F2-98D4-1A1F3F05F081,1 - DAYLIGHT,185011438,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45237
4XX PIKE ST,39.103481,-84.504161,26-30,DOWNTOWN,C. B. D. / RIVERFRONT,08/14/2018 03:41:43 PM +0000,03 - T-INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/14/2018 03:50:53 PM +0000,TUE,M - MALE,1 - NO INJURY / NONE REPORTED,B034F5BE-3C74-4062-8690-9019F2B801BD,1 - DAYLIGHT,185011300,6 - ANGLE,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",DOWNTOWN,D - DRIVER,1 - CLEAR,45215
14XX WINCHELL AV,39.110235,-84.530893,31-40,WEST END,WEST  END,08/04/2018 11:04:00 PM +0000,02 - FOUR-WAY INTERSECTION,2 - INJURY,2,08/04/2018 11:10:00 PM +0000,SAT,M - MALE,2 - POSSIBLE,AD4329F4-3B15-4042-B1AD-FD897008A185,4 - DARK - LIGHTED ROADWAY,185010840,"7 - SIDESWIPE, SAME DIRECTION",01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,WEST END,D - DRIVER,1 - CLEAR,45214
S I75 AT 8-0 MM,39.177452,-84.487442,31-40,BOND HILL,BONDHILL,08/06/2018 03:44:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/06/2018 03:46:00 PM +0000,MON,F - FEMALE,1 - NO INJURY / NONE REPORTED,71D2BD52-690C-4C43-BB33-587BABC5221D,1 - DAYLIGHT,185010886,2 - REAR-END,02 - WET,3 - CURVE LEVEL,1 - CONCRETE,BOND HILL,D - DRIVER,4 - RAIN,45237
29XX MONTANA AV,39.148391,84.595706,26-30,N/A,N/A,08/23/2018 01:50:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/23/2018 01:59:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,97ED05BD-41C8-48F9-B596-00616F1C906A,1 - DAYLIGHT,185011781,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,1 - CLEAR,45211
26XX W NORTH BEND RD,39.189651,-84.574503,31-40,MOUNT AIRY,MOUNT AIRY,08/22/2018 07:45:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/22/2018 07:52:00 PM +0000,WED,F - FEMALE,1 - NO INJURY / NONE REPORTED,0582F873-7C3A-4B60-9126-14304E0C4565,1 - DAYLIGHT,185011756,9 - UNKNOWN,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",MT. AIRY,D - DRIVER,1 - CLEAR,45239
E I275 AT 73-0 MM,39.060487,84.423866,31-40,N/A,N/A,08/16/2018 06:23:00 PM +0000,01 - NOT AN INTERSECTION,2 - INJURY,2,08/16/2018 06:25:00 PM +0000,THU,F - FEMALE,1 - NO INJURY / NONE REPORTED,7AB78767-5D42-4CE2-8254-3F84E3815827,1 - DAYLIGHT,185011446,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",N/A,D - DRIVER,2 - CLOUDY,45230
5XX W KING DR,39.140081,-84.525073,26-30,CLIFTON,CLIFTON,08/04/2018 11:11:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/04/2018 11:11:00 PM +0000,SAT,F - FEMALE,1 - NO INJURY / NONE REPORTED,802B97EB-1C52-47EA-844E-AD9242A94965,5 - DARK – ROADWAY NOT LIGHTED,185010842,2 - REAR-END,01 - DRY,2 - STRAIGHT GRADE,"2 - BLACKTOP, BITUMINOUS, ASPHALT",CLIFTON,D - DRIVER,1 - CLEAR,45220
27XX QUEEN CITY AV,39.132866,-84.590869,31-40,WESTWOOD,WESTWOOD,08/07/2018 02:15:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/07/2018 02:35:00 PM +0000,TUE,F - FEMALE,1 - NO INJURY / NONE REPORTED,18911E36-9B8D-407F-A9BC-9C12D2D83238,1 - DAYLIGHT,185010958,5 - BACKING,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",WESTWOOD,O - OCCUPANT,1 - CLEAR,45238
42XX DANE AV,39.164095,-84.532015,UNKNOWN,NORTHSIDE,NORTHSIDE,08/10/2018 09:20:00 AM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/10/2018 09:30:00 AM +0000,FRI,,1 - NO INJURY / NONE REPORTED,162E6148-8421-4DC8-A314-FDD4650A4CA6,1 - DAYLIGHT,185011106,9 - UNKNOWN,01 - DRY,1 - STRAIGHT LEVEL,"2 - BLACKTOP, BITUMINOUS, ASPHALT",NORTHSIDE,D - DRIVER,1 - CLEAR,45223
61XX KELLOGG AV,39.060653,84.419816,61-70,N/A,N/A,08/18/2018 12:00:00 PM +0000,01 - NOT AN INTERSECTION,3 - PROPERTY DAMAGE ONLY (PDO),3,08/18/2018 12:05:00 PM +0000,SAT,F - FEMALE,1 - NO INJURY / NONE REPORTED,2DD46937-A2AB-4E67-B34E-CE757D78B07F,1 - DAYLIGHT,185011544,2 - REAR-END,01 - DRY,1 - STRAIGHT LEVEL,1 - CONCRETE,N/A,D - DRIVER,1 - CLEAR,45228
